{'__name__': '__main__', '__doc__': None, '__package__': None, '__loader__': <_frozen_importlib_external.SourceFileLoader object at 0x7f4c5cec8fd0>, '__spec__': None, '__annotations__': {}, '__builtins__': <module 'builtins' (built-in)>, '__file__': '/media/XUPT/0158571d-fa1a-4147-b721-b7993d1903b5/lx/master/main.py', '__cached__': None, 'sep': '/', 'TRUE': b'I01\n', 'torch': <module 'torch' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/__init__.py'>, 'nn': <module 'torch.nn' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/nn/__init__.py'>, 'F': <module 'torch.nn.functional' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/nn/functional.py'>, 'partial': <class 'functools.partial'>, 'sio': <module 'scipy.io' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/scipy/io/__init__.py'>, 'PCA': <class 'sklearn.decomposition._pca.PCA'>, 'FactorAnalysis': <class 'sklearn.decomposition._factor_analysis.FactorAnalysis'>, 'train_test_split': <function train_test_split at 0x7f4b9e0a1d40>, 'optim': <module 'torch.optim' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/optim/__init__.py'>, 'confusion_matrix': <function confusion_matrix at 0x7f4b9e288710>, 'accuracy_score': <function accuracy_score at 0x7f4b9e288560>, 'classification_report': <function classification_report at 0x7f4b9e28ed40>, 'cohen_kappa_score': <function cohen_kappa_score at 0x7f4b9e288a70>, 'truediv': <built-in function truediv>, 'logging': <module 'logging' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/logging/__init__.py'>, 'plt': <module 'matplotlib.pyplot' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/matplotlib/pyplot.py'>, 'rearrange': <function rearrange at 0x7f4b9c929950>, 'np': <module 'numpy' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/numpy/__init__.py'>, 'sys': <module 'sys' (built-in)>, 'datetime': <module 'datetime' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/datetime.py'>, 'os': <module 'os' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/os.py'>, 'day': datetime.datetime(2023, 1, 2, 10, 56, 53, 786313), 'day_str': '01_02_10_56', 'save_loger_name': './terminal_log//01_02_10_56loger.txt', 'Logger': <class '__main__.Logger'>, 'log_type': 'utf-8', 'get_module': <function get_module at 0x7f4c5cd557a0>}
当前运行的模块为： main
**************************************************
ytrain shape (80,)
Xtest shape:  (10169, 15, 15, 30)
Ytest shape (10169,)
Epoch :1	 Loss:2.782473	 Accuracy:12.500 OA:4.65	 AA:6.25
Epoch :2	 Loss:2.687678	 Accuracy:25.000 OA:4.65	 AA:6.25
Epoch :3	 Loss:2.638649	 Accuracy:75.000 OA:4.65	 AA:6.25
Epoch :4	 Loss:2.639325	 Accuracy:131.250 OA:4.65	 AA:6.25
Epoch :5	 Loss:2.607702	 Accuracy:162.500 OA:4.65	 AA:6.25
Epoch :6	 Loss:2.563146	 Accuracy:193.750 OA:4.65	 AA:6.25
Epoch :7	 Loss:2.523718	 Accuracy:218.750 OA:3.64	 AA:4.89
Epoch :8	 Loss:2.471880	 Accuracy:212.500 OA:3.75	 AA:6.25
Epoch :9	 Loss:2.425668	 Accuracy:237.500 OA:3.75	 AA:6.25
Epoch :10	 Loss:2.370703	 Accuracy:262.500 OA:3.75	 AA:6.25
Epoch :11	 Loss:2.275488	 Accuracy:275.000 OA:3.75	 AA:6.25
Epoch :12	 Loss:2.306993	 Accuracy:293.750 OA:3.75	 AA:6.25
Epoch :13	 Loss:2.371214	 Accuracy:281.250 OA:3.86	 AA:6.41
Epoch :14	 Loss:2.211082	 Accuracy:300.000 OA:10.92	 AA:8.86
Epoch :15	 Loss:2.080439	 Accuracy:293.750 OA:24.65	 AA:13.29
Epoch :16	 Loss:2.189030	 Accuracy:318.750 OA:27.50	 AA:13.65
Epoch :17	 Loss:2.063361	 Accuracy:293.750 OA:29.51	 AA:15.05
Epoch :18	 Loss:2.040466	 Accuracy:306.250 OA:32.72	 AA:24.69
Epoch :19	 Loss:2.098952	 Accuracy:312.500 OA:36.35	 AA:31.70
Epoch :20	 Loss:1.935445	 Accuracy:312.500 OA:39.35	 AA:40.28
Epoch :21	 Loss:2.122815	 Accuracy:318.750 OA:41.93	 AA:44.87
Epoch :22	 Loss:1.943881	 Accuracy:331.250 OA:44.25	 AA:48.27
Epoch :23	 Loss:2.112039	 Accuracy:318.750 OA:46.01	 AA:50.98
Epoch :24	 Loss:1.853930	 Accuracy:343.750 OA:46.69	 AA:54.26
Epoch :25	 Loss:1.825532	 Accuracy:331.250 OA:47.88	 AA:59.26
Epoch :26	 Loss:1.797754	 Accuracy:343.750 OA:49.80	 AA:62.72
Epoch :27	 Loss:1.955193	 Accuracy:362.500 OA:52.81	 AA:66.28
Epoch :28	 Loss:1.825323	 Accuracy:356.250 OA:54.86	 AA:67.70
Epoch :29	 Loss:1.902482	 Accuracy:368.750 OA:55.86	 AA:68.70
Epoch :30	 Loss:1.791129	 Accuracy:400.000 OA:56.35	 AA:69.31
Epoch :31	 Loss:1.712020	 Accuracy:387.500 OA:56.52	 AA:70.57
Epoch :32	 Loss:1.602895	 Accuracy:393.750 OA:57.10	 AA:71.72
Epoch :33	 Loss:1.755383	 Accuracy:400.000 OA:57.55	 AA:73.26
Epoch :34	 Loss:1.621738	 Accuracy:412.500 OA:58.24	 AA:73.67
Epoch :35	 Loss:1.660384	 Accuracy:412.500 OA:58.10	 AA:74.16
Epoch :36	 Loss:1.598922	 Accuracy:425.000 OA:57.89	 AA:74.89
Epoch :37	 Loss:1.593520	 Accuracy:418.750 OA:58.06	 AA:75.27
Epoch :38	 Loss:1.639355	 Accuracy:431.250 OA:58.33	 AA:75.85
Epoch :39	 Loss:1.583063	 Accuracy:425.000 OA:58.52	 AA:76.14
Epoch :40	 Loss:1.549322	 Accuracy:406.250 OA:58.62	 AA:76.74
Epoch :41	 Loss:1.623391	 Accuracy:425.000 OA:59.09	 AA:77.02
Epoch :42	 Loss:1.293822	 Accuracy:450.000 OA:59.65	 AA:77.11
Epoch :43	 Loss:1.849983	 Accuracy:437.500 OA:60.98	 AA:77.83
Epoch :44	 Loss:1.552601	 Accuracy:418.750 OA:62.15	 AA:78.11
