{'__name__': '__main__', '__doc__': None, '__package__': None, '__loader__': <_frozen_importlib_external.SourceFileLoader object at 0x7fcd405bbfd0>, '__spec__': None, '__annotations__': {}, '__builtins__': <module 'builtins' (built-in)>, '__file__': '/media/XUPT/0158571d-fa1a-4147-b721-b7993d1903b5/lx/master/main.py', '__cached__': None, 'sep': '/', 'TRUE': b'I01\n', 'torch': <module 'torch' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/__init__.py'>, 'nn': <module 'torch.nn' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/nn/__init__.py'>, 'F': <module 'torch.nn.functional' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/nn/functional.py'>, 'partial': <class 'functools.partial'>, 'sio': <module 'scipy.io' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/scipy/io/__init__.py'>, 'PCA': <class 'sklearn.decomposition._pca.PCA'>, 'FactorAnalysis': <class 'sklearn.decomposition._factor_analysis.FactorAnalysis'>, 'train_test_split': <function train_test_split at 0x7fcc81794d40>, 'optim': <module 'torch.optim' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/optim/__init__.py'>, 'confusion_matrix': <function confusion_matrix at 0x7fcc8197b710>, 'accuracy_score': <function accuracy_score at 0x7fcc8197b560>, 'classification_report': <function classification_report at 0x7fcc81981d40>, 'cohen_kappa_score': <function cohen_kappa_score at 0x7fcc8197ba70>, 'truediv': <built-in function truediv>, 'logging': <module 'logging' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/logging/__init__.py'>, 'plt': <module 'matplotlib.pyplot' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/matplotlib/pyplot.py'>, 'rearrange': <function rearrange at 0x7fcc8001d950>, 'np': <module 'numpy' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/numpy/__init__.py'>, 'sys': <module 'sys' (built-in)>, 'datetime': <module 'datetime' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/datetime.py'>, 'os': <module 'os' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/os.py'>, 'day': datetime.datetime(2023, 1, 2, 11, 11, 35, 778130), 'day_str': '01_02_11_11', 'save_loger_name': './terminal_log//01_02_11_11loger.txt', 'Logger': <class '__main__.Logger'>, 'log_type': 'utf-8', 'get_module': <function get_module at 0x7fcd404487a0>}
当前运行的模块为： main
**************************************************
ytrain shape (80,)
Xtest shape:  (10169, 15, 15, 30)
Ytest shape (10169,)
Epoch :1	 Loss:2.903053	 Accuracy:31.250 OA:7.13	 AA:6.25
Epoch :2	 Loss:2.730847	 Accuracy:31.250 OA:7.13	 AA:6.25
Epoch :3	 Loss:2.764965	 Accuracy:31.250 OA:7.13	 AA:6.25
Epoch :4	 Loss:2.723466	 Accuracy:31.250 OA:7.13	 AA:6.25
Epoch :5	 Loss:2.798743	 Accuracy:31.250 OA:7.13	 AA:6.25
Epoch :6	 Loss:2.696939	 Accuracy:43.750 OA:7.13	 AA:6.25
Epoch :7	 Loss:2.706347	 Accuracy:56.250 OA:8.11	 AA:6.25
Epoch :8	 Loss:2.669153	 Accuracy:112.500 OA:8.11	 AA:6.25
Epoch :9	 Loss:2.668801	 Accuracy:112.500 OA:8.11	 AA:6.25
Epoch :10	 Loss:2.656494	 Accuracy:106.250 OA:8.11	 AA:6.25
Epoch :11	 Loss:2.585198	 Accuracy:112.500 OA:8.11	 AA:6.25
Epoch :12	 Loss:2.546615	 Accuracy:125.000 OA:8.11	 AA:6.25
Epoch :13	 Loss:2.581422	 Accuracy:131.250 OA:8.11	 AA:6.25
Epoch :14	 Loss:2.615992	 Accuracy:112.500 OA:8.11	 AA:6.25
Epoch :15	 Loss:2.503721	 Accuracy:118.750 OA:8.11	 AA:6.25
Epoch :16	 Loss:2.476385	 Accuracy:137.500 OA:8.11	 AA:6.25
Epoch :17	 Loss:2.398871	 Accuracy:150.000 OA:8.27	 AA:7.99
Epoch :18	 Loss:2.427655	 Accuracy:143.750 OA:8.55	 AA:14.81
Epoch :19	 Loss:2.413522	 Accuracy:162.500 OA:9.64	 AA:17.59
Epoch :20	 Loss:2.360214	 Accuracy:162.500 OA:14.53	 AA:22.69
Epoch :21	 Loss:2.440156	 Accuracy:137.500 OA:18.43	 AA:29.30
Epoch :22	 Loss:2.385149	 Accuracy:143.750 OA:20.04	 AA:31.79
Epoch :23	 Loss:2.278807	 Accuracy:131.250 OA:22.33	 AA:32.06
Epoch :24	 Loss:2.230855	 Accuracy:137.500 OA:22.36	 AA:32.85
Epoch :25	 Loss:2.230552	 Accuracy:137.500 OA:22.23	 AA:32.56
Epoch :26	 Loss:2.166643	 Accuracy:150.000 OA:22.28	 AA:32.16
Epoch :27	 Loss:2.167768	 Accuracy:175.000 OA:22.72	 AA:33.03
Epoch :28	 Loss:2.344806	 Accuracy:168.750 OA:23.56	 AA:33.86
Epoch :29	 Loss:2.200109	 Accuracy:162.500 OA:23.80	 AA:33.76
Epoch :30	 Loss:2.102502	 Accuracy:162.500 OA:24.17	 AA:36.07
Epoch :31	 Loss:2.252791	 Accuracy:187.500 OA:25.17	 AA:39.42
Epoch :32	 Loss:2.158684	 Accuracy:206.250 OA:26.03	 AA:40.83
Epoch :33	 Loss:2.266989	 Accuracy:200.000 OA:24.49	 AA:41.09
Epoch :34	 Loss:2.007834	 Accuracy:206.250 OA:23.96	 AA:40.72
Epoch :35	 Loss:2.190550	 Accuracy:200.000 OA:23.66	 AA:40.00
Epoch :36	 Loss:2.172048	 Accuracy:187.500 OA:23.32	 AA:39.75
Epoch :37	 Loss:2.348452	 Accuracy:187.500 OA:24.57	 AA:39.64
Epoch :38	 Loss:2.010569	 Accuracy:206.250 OA:38.32	 AA:38.63
Epoch :39	 Loss:1.910370	 Accuracy:206.250 OA:38.38	 AA:38.33
Epoch :40	 Loss:1.932385	 Accuracy:212.500 OA:38.31	 AA:38.42
Epoch :41	 Loss:1.954273	 Accuracy:212.500 OA:38.10	 AA:38.64
Epoch :42	 Loss:2.176753	 Accuracy:200.000 OA:38.05	 AA:38.33
Epoch :43	 Loss:1.893119	 Accuracy:200.000 OA:38.45	 AA:37.33
Epoch :44	 Loss:1.829637	 Accuracy:187.500 OA:38.84	 AA:36.71
Epoch :45	 Loss:1.933592	 Accuracy:193.750 OA:39.20	 AA:36.53
