{'__name__': '__main__', '__doc__': None, '__package__': None, '__loader__': <_frozen_importlib_external.SourceFileLoader object at 0x7f1c570e5fd0>, '__spec__': None, '__annotations__': {}, '__builtins__': <module 'builtins' (built-in)>, '__file__': '/media/XUPT/0158571d-fa1a-4147-b721-b7993d1903b5/lx/master/main.py', '__cached__': None, 'sep': '/', 'TRUE': b'I01\n', 'torch': <module 'torch' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/__init__.py'>, 'nn': <module 'torch.nn' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/nn/__init__.py'>, 'F': <module 'torch.nn.functional' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/nn/functional.py'>, 'partial': <class 'functools.partial'>, 'sio': <module 'scipy.io' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/scipy/io/__init__.py'>, 'PCA': <class 'sklearn.decomposition._pca.PCA'>, 'FactorAnalysis': <class 'sklearn.decomposition._factor_analysis.FactorAnalysis'>, 'train_test_split': <function train_test_split at 0x7f1b982bdd40>, 'optim': <module 'torch.optim' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/optim/__init__.py'>, 'confusion_matrix': <function confusion_matrix at 0x7f1b984a5710>, 'accuracy_score': <function accuracy_score at 0x7f1b984a5560>, 'classification_report': <function classification_report at 0x7f1b984abd40>, 'cohen_kappa_score': <function cohen_kappa_score at 0x7f1b984a5a70>, 'truediv': <built-in function truediv>, 'logging': <module 'logging' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/logging/__init__.py'>, 'plt': <module 'matplotlib.pyplot' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/matplotlib/pyplot.py'>, 'rearrange': <function rearrange at 0x7f1b96b46950>, 'np': <module 'numpy' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/numpy/__init__.py'>, 'sys': <module 'sys' (built-in)>, 'datetime': <module 'datetime' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/datetime.py'>, 'os': <module 'os' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/os.py'>, 'day': datetime.datetime(2023, 1, 2, 11, 29, 23, 125493), 'day_str': '01_02_11_29', 'save_loger_name': './terminal_log//01_02_11_29loger.txt', 'Logger': <class '__main__.Logger'>, 'log_type': 'utf-8', 'get_module': <function get_module at 0x7f1c56f727a0>}
当前运行的模块为： main
**************************************************
ytrain shape (80,)
Xtest shape:  (10169, 15, 15, 30)
Ytest shape (10169,)
Epoch :1	 Loss:2.735636	 Accuracy:12.500 OA:0.30	 AA:4.80
Epoch :2	 Loss:2.741147	 Accuracy:31.250 OA:8.26	 AA:19.10
Epoch :3	 Loss:2.627481	 Accuracy:150.000 OA:15.92	 AA:32.16
Epoch :4	 Loss:2.433154	 Accuracy:206.250 OA:24.13	 AA:45.60
Epoch :5	 Loss:2.346768	 Accuracy:268.750 OA:29.15	 AA:55.37
Epoch :6	 Loss:2.400784	 Accuracy:306.250 OA:31.35	 AA:58.42
Epoch :7	 Loss:2.336336	 Accuracy:300.000 OA:33.98	 AA:60.25
Epoch :8	 Loss:2.128603	 Accuracy:331.250 OA:39.08	 AA:63.07
Epoch :9	 Loss:2.141639	 Accuracy:362.500 OA:43.12	 AA:65.23
Epoch :10	 Loss:2.046914	 Accuracy:362.500 OA:45.42	 AA:66.60
Epoch :11	 Loss:1.912275	 Accuracy:368.750 OA:47.45	 AA:67.98
Epoch :12	 Loss:1.939352	 Accuracy:381.250 OA:48.64	 AA:68.92
Epoch :13	 Loss:1.971123	 Accuracy:393.750 OA:50.20	 AA:70.36
Epoch :14	 Loss:1.868000	 Accuracy:400.000 OA:52.34	 AA:72.44
Epoch :15	 Loss:1.926673	 Accuracy:400.000 OA:53.08	 AA:73.17
Epoch :16	 Loss:1.763498	 Accuracy:406.250 OA:54.03	 AA:73.93
Epoch :17	 Loss:1.787224	 Accuracy:406.250 OA:54.74	 AA:74.50
Epoch :18	 Loss:1.839657	 Accuracy:406.250 OA:55.05	 AA:74.82
Epoch :19	 Loss:1.680753	 Accuracy:418.750 OA:55.31	 AA:74.91
Epoch :20	 Loss:1.595589	 Accuracy:412.500 OA:55.46	 AA:75.02
Epoch :21	 Loss:1.467205	 Accuracy:418.750 OA:55.06	 AA:74.83
Epoch :22	 Loss:1.457689	 Accuracy:400.000 OA:55.37	 AA:75.27
Epoch :23	 Loss:1.369643	 Accuracy:418.750 OA:55.49	 AA:75.33
Epoch :24	 Loss:1.426416	 Accuracy:418.750 OA:55.71	 AA:75.61
Epoch :25	 Loss:1.369618	 Accuracy:418.750 OA:55.64	 AA:75.52
Epoch :26	 Loss:1.486045	 Accuracy:412.500 OA:56.24	 AA:75.83
Epoch :27	 Loss:1.368172	 Accuracy:425.000 OA:57.20	 AA:76.44
Epoch :28	 Loss:1.313261	 Accuracy:418.750 OA:57.83	 AA:76.61
Epoch :29	 Loss:1.354090	 Accuracy:418.750 OA:58.30	 AA:76.74
Epoch :30	 Loss:1.424663	 Accuracy:425.000 OA:58.43	 AA:76.82
Epoch :31	 Loss:1.468055	 Accuracy:431.250 OA:59.42	 AA:77.20
Epoch :32	 Loss:1.555747	 Accuracy:437.500 OA:60.99	 AA:77.77
