{'__name__': '__main__', '__doc__': None, '__package__': None, '__loader__': <_frozen_importlib_external.SourceFileLoader object at 0x7fa8bc5a5fd0>, '__spec__': None, '__annotations__': {}, '__builtins__': <module 'builtins' (built-in)>, '__file__': '/media/XUPT/0158571d-fa1a-4147-b721-b7993d1903b5/lx/master/main.py', '__cached__': None, 'sep': '/', 'TRUE': b'I01\n', 'torch': <module 'torch' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/__init__.py'>, 'nn': <module 'torch.nn' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/nn/__init__.py'>, 'F': <module 'torch.nn.functional' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/nn/functional.py'>, 'partial': <class 'functools.partial'>, 'sio': <module 'scipy.io' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/scipy/io/__init__.py'>, 'PCA': <class 'sklearn.decomposition._pca.PCA'>, 'FactorAnalysis': <class 'sklearn.decomposition._factor_analysis.FactorAnalysis'>, 'train_test_split': <function train_test_split at 0x7fa7fd77ed40>, 'optim': <module 'torch.optim' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/optim/__init__.py'>, 'confusion_matrix': <function confusion_matrix at 0x7fa7fd965710>, 'accuracy_score': <function accuracy_score at 0x7fa7fd965560>, 'classification_report': <function classification_report at 0x7fa7fd96bd40>, 'cohen_kappa_score': <function cohen_kappa_score at 0x7fa7fd965a70>, 'truediv': <built-in function truediv>, 'logging': <module 'logging' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/logging/__init__.py'>, 'plt': <module 'matplotlib.pyplot' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/matplotlib/pyplot.py'>, 'rearrange': <function rearrange at 0x7fa7fc007950>, 'np': <module 'numpy' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/numpy/__init__.py'>, 'sys': <module 'sys' (built-in)>, 'datetime': <module 'datetime' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/datetime.py'>, 'os': <module 'os' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/os.py'>, 'day': datetime.datetime(2023, 1, 2, 11, 32, 25, 565123), 'day_str': '01_02_11_32', 'save_loger_name': './terminal_log//01_02_11_32loger.txt', 'Logger': <class '__main__.Logger'>, 'log_type': 'utf-8', 'get_module': <function get_module at 0x7fa8bc4327a0>}
当前运行的模块为： main
**************************************************
ytrain shape (80,)
Xtest shape:  (10169, 15, 15, 30)
Ytest shape (10169,)
Epoch :1	 Loss:2.841310	 Accuracy:31.250 OA:9.51	 AA:6.25
Epoch :2	 Loss:2.793210	 Accuracy:31.250 OA:9.51	 AA:6.25
Epoch :3	 Loss:2.790829	 Accuracy:31.250 OA:9.51	 AA:6.25
Epoch :4	 Loss:2.817474	 Accuracy:31.250 OA:9.51	 AA:6.25
Epoch :5	 Loss:2.778066	 Accuracy:31.250 OA:9.36	 AA:6.12
Epoch :6	 Loss:2.787391	 Accuracy:43.750 OA:13.93	 AA:6.78
Epoch :7	 Loss:2.759764	 Accuracy:43.750 OA:14.63	 AA:6.42
Epoch :8	 Loss:2.750310	 Accuracy:31.250 OA:14.74	 AA:6.58
Epoch :9	 Loss:2.754846	 Accuracy:56.250 OA:12.79	 AA:12.66
Epoch :10	 Loss:2.754871	 Accuracy:93.750 OA:6.88	 AA:13.22
Epoch :11	 Loss:2.738021	 Accuracy:87.500 OA:4.10	 AA:11.50
Epoch :12	 Loss:2.748819	 Accuracy:87.500 OA:2.93	 AA:10.64
Epoch :13	 Loss:2.734174	 Accuracy:62.500 OA:2.52	 AA:10.88
Epoch :14	 Loss:2.734660	 Accuracy:75.000 OA:2.31	 AA:11.49
Epoch :15	 Loss:2.714103	 Accuracy:75.000 OA:2.77	 AA:13.62
Epoch :16	 Loss:2.739771	 Accuracy:93.750 OA:3.04	 AA:15.15
Epoch :17	 Loss:2.696161	 Accuracy:106.250 OA:3.37	 AA:19.47
Epoch :18	 Loss:2.701966	 Accuracy:131.250 OA:3.16	 AA:17.38
Epoch :19	 Loss:2.710192	 Accuracy:137.500 OA:3.35	 AA:19.64
Epoch :20	 Loss:2.699769	 Accuracy:150.000 OA:3.67	 AA:21.26
Epoch :21	 Loss:2.705892	 Accuracy:162.500 OA:5.39	 AA:25.15
Epoch :22	 Loss:2.705309	 Accuracy:187.500 OA:8.05	 AA:28.45
Epoch :23	 Loss:2.685793	 Accuracy:225.000 OA:12.11	 AA:27.64
Epoch :24	 Loss:2.676201	 Accuracy:200.000 OA:16.60	 AA:28.65
Epoch :25	 Loss:2.654086	 Accuracy:231.250 OA:20.88	 AA:27.26
Epoch :26	 Loss:2.655120	 Accuracy:218.750 OA:28.66	 AA:29.89
Epoch :27	 Loss:2.636462	 Accuracy:225.000 OA:31.18	 AA:30.69
Epoch :28	 Loss:2.670038	 Accuracy:243.750 OA:32.29	 AA:31.24
Epoch :29	 Loss:2.643320	 Accuracy:225.000 OA:30.92	 AA:29.00
Epoch :30	 Loss:2.613045	 Accuracy:206.250 OA:26.52	 AA:27.40
Epoch :31	 Loss:2.601497	 Accuracy:218.750 OA:22.25	 AA:25.59
Epoch :32	 Loss:2.637743	 Accuracy:212.500 OA:20.37	 AA:24.61
Epoch :33	 Loss:2.634405	 Accuracy:187.500 OA:20.36	 AA:25.16
Epoch :34	 Loss:2.658997	 Accuracy:206.250 OA:21.48	 AA:27.42
Epoch :35	 Loss:2.582894	 Accuracy:243.750 OA:21.30	 AA:28.90
Epoch :36	 Loss:2.543351	 Accuracy:237.500 OA:21.09	 AA:28.90
Epoch :37	 Loss:2.498538	 Accuracy:231.250 OA:19.35	 AA:27.16
Epoch :38	 Loss:2.552325	 Accuracy:231.250 OA:17.07	 AA:24.99
Epoch :39	 Loss:2.617114	 Accuracy:187.500 OA:15.78	 AA:23.44
Epoch :40	 Loss:2.582921	 Accuracy:168.750 OA:15.79	 AA:23.94
Epoch :41	 Loss:2.569620	 Accuracy:175.000 OA:16.16	 AA:25.59
Epoch :42	 Loss:2.531939	 Accuracy:212.500 OA:17.00	 AA:28.53
Epoch :43	 Loss:2.582116	 Accuracy:212.500 OA:17.70	 AA:29.95
Epoch :44	 Loss:2.521931	 Accuracy:225.000 OA:19.34	 AA:32.24
Epoch :45	 Loss:2.466221	 Accuracy:243.750 OA:20.68	 AA:33.33
Epoch :46	 Loss:2.468236	 Accuracy:256.250 OA:22.09	 AA:34.55
Epoch :47	 Loss:2.538036	 Accuracy:268.750 OA:24.75	 AA:38.59
Epoch :48	 Loss:2.402210	 Accuracy:306.250 OA:39.28	 AA:42.69
Epoch :49	 Loss:2.446093	 Accuracy:318.750 OA:42.63	 AA:43.25
Epoch :50	 Loss:2.413878	 Accuracy:337.500 OA:44.46	 AA:43.96
Epoch :51	 Loss:2.380805	 Accuracy:350.000 OA:45.13	 AA:44.17
Epoch :52	 Loss:2.403918	 Accuracy:343.750 OA:44.98	 AA:43.76
Epoch :53	 Loss:2.443292	 Accuracy:331.250 OA:44.67	 AA:43.92
Epoch :54	 Loss:2.443474	 Accuracy:343.750 OA:41.24	 AA:44.48
Epoch :55	 Loss:2.285053	 Accuracy:331.250 OA:37.43	 AA:44.81
Epoch :56	 Loss:2.332472	 Accuracy:325.000 OA:35.73	 AA:44.78
Epoch :57	 Loss:2.413287	 Accuracy:331.250 OA:34.31	 AA:44.23
Epoch :58	 Loss:2.285741	 Accuracy:306.250 OA:33.73	 AA:44.05
Epoch :59	 Loss:2.337972	 Accuracy:300.000 OA:33.15	 AA:43.51
Epoch :60	 Loss:2.319894	 Accuracy:306.250 OA:33.92	 AA:43.73
Epoch :61	 Loss:2.333011	 Accuracy:318.750 OA:34.32	 AA:44.09
Epoch :62	 Loss:2.230684	 Accuracy:293.750 OA:33.73	 AA:45.05
