{'__name__': '__main__', '__doc__': None, '__package__': None, '__loader__': <_frozen_importlib_external.SourceFileLoader object at 0x7f451caddf50>, '__spec__': None, '__annotations__': {}, '__builtins__': <module 'builtins' (built-in)>, '__file__': '/media/XUPT/0158571d-fa1a-4147-b721-b7993d1903b5/lx/master/main.py', '__cached__': None, 'sep': '/', 'TRUE': b'I01\n', 'torch': <module 'torch' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/__init__.py'>, 'nn': <module 'torch.nn' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/nn/__init__.py'>, 'F': <module 'torch.nn.functional' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/nn/functional.py'>, 'partial': <class 'functools.partial'>, 'sio': <module 'scipy.io' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/scipy/io/__init__.py'>, 'PCA': <class 'sklearn.decomposition._pca.PCA'>, 'FactorAnalysis': <class 'sklearn.decomposition._factor_analysis.FactorAnalysis'>, 'train_test_split': <function train_test_split at 0x7f445dcb5d40>, 'optim': <module 'torch.optim' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/torch/optim/__init__.py'>, 'confusion_matrix': <function confusion_matrix at 0x7f445de9d710>, 'accuracy_score': <function accuracy_score at 0x7f445de9d560>, 'classification_report': <function classification_report at 0x7f445dea3d40>, 'cohen_kappa_score': <function cohen_kappa_score at 0x7f445de9da70>, 'truediv': <built-in function truediv>, 'logging': <module 'logging' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/logging/__init__.py'>, 'plt': <module 'matplotlib.pyplot' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/matplotlib/pyplot.py'>, 'rearrange': <function rearrange at 0x7f445c53f950>, 'np': <module 'numpy' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/site-packages/numpy/__init__.py'>, 'sys': <module 'sys' (built-in)>, 'datetime': <module 'datetime' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/datetime.py'>, 'os': <module 'os' from '/home/XUPT/anaconda3/envs/py37/lib/python3.7/os.py'>, 'day': datetime.datetime(2023, 1, 2, 11, 35, 23, 131501), 'day_str': '01_02_11_35', 'save_loger_name': './terminal_log//01_02_11_35loger.txt', 'Logger': <class '__main__.Logger'>, 'log_type': 'utf-8', 'get_module': <function get_module at 0x7f451c96a7a0>}
当前运行的模块为： main
**************************************************
ytrain shape (80,)
Xtest shape:  (10169, 15, 15, 30)
Ytest shape (10169,)
Epoch :1	 Loss:2.908320	 Accuracy:31.250 OA:0.40	 AA:6.25
Epoch :2	 Loss:2.825698	 Accuracy:31.250 OA:0.40	 AA:6.25
Epoch :3	 Loss:2.743302	 Accuracy:31.250 OA:0.40	 AA:6.25
Epoch :4	 Loss:2.740976	 Accuracy:31.250 OA:0.40	 AA:6.25
Epoch :5	 Loss:2.771787	 Accuracy:31.250 OA:0.40	 AA:6.25
Epoch :6	 Loss:2.725582	 Accuracy:37.500 OA:0.44	 AA:6.26
Epoch :7	 Loss:2.739068	 Accuracy:56.250 OA:0.89	 AA:6.43
Epoch :8	 Loss:2.738032	 Accuracy:75.000 OA:4.55	 AA:9.24
Epoch :9	 Loss:2.744731	 Accuracy:93.750 OA:10.32	 AA:13.97
Epoch :10	 Loss:2.705163	 Accuracy:125.000 OA:12.13	 AA:16.23
Epoch :11	 Loss:2.707140	 Accuracy:143.750 OA:11.81	 AA:17.34
Epoch :12	 Loss:2.713699	 Accuracy:156.250 OA:13.55	 AA:18.61
Epoch :13	 Loss:2.705929	 Accuracy:150.000 OA:12.84	 AA:18.31
Epoch :14	 Loss:2.692286	 Accuracy:137.500 OA:14.25	 AA:18.75
Epoch :15	 Loss:2.696312	 Accuracy:143.750 OA:14.24	 AA:18.11
Epoch :16	 Loss:2.643367	 Accuracy:137.500 OA:14.33	 AA:17.25
Epoch :17	 Loss:2.684962	 Accuracy:137.500 OA:14.14	 AA:16.81
Epoch :18	 Loss:2.665709	 Accuracy:125.000 OA:13.97	 AA:17.13
Epoch :19	 Loss:2.625106	 Accuracy:131.250 OA:14.74	 AA:18.03
Epoch :20	 Loss:2.652602	 Accuracy:162.500 OA:15.53	 AA:19.78
Epoch :21	 Loss:2.644309	 Accuracy:156.250 OA:16.54	 AA:22.02
Epoch :22	 Loss:2.665024	 Accuracy:175.000 OA:17.09	 AA:27.08
Epoch :23	 Loss:2.622599	 Accuracy:206.250 OA:17.04	 AA:31.57
Epoch :24	 Loss:2.576216	 Accuracy:231.250 OA:17.67	 AA:34.53
Epoch :25	 Loss:2.606277	 Accuracy:250.000 OA:16.00	 AA:33.38
Epoch :26	 Loss:2.596651	 Accuracy:243.750 OA:13.45	 AA:30.63
Epoch :27	 Loss:2.543822	 Accuracy:218.750 OA:12.54	 AA:30.20
Epoch :28	 Loss:2.573171	 Accuracy:206.250 OA:12.53	 AA:30.43
Epoch :29	 Loss:2.554322	 Accuracy:212.500 OA:14.08	 AA:31.57
Epoch :30	 Loss:2.561940	 Accuracy:225.000 OA:15.22	 AA:32.50
Epoch :31	 Loss:2.513280	 Accuracy:237.500 OA:16.09	 AA:33.60
